Date,Description,Category,Amount
2026-06-01,Landlord Housing,Rent,1200.00
2026-06-03,Supermarket Groceries,Food,85.20
2026-06-05,Netflix Subscription,Entertainment,15.49
2026-06-08,Gas Station Fuel,Transport,45.00
2026-06-12,Local Coffee Shop,Coffee,4.75
2026-06-15,Electric Utility Bill,Utilities,92.30
2026-06-18,Gym Membership,Health,30.00
2026-06-20,Gourmet Burger Diner,Dining Out,34.50
2026-06-22,Online Book Store,Shopping,18.99
2026-06-25,Local Coffee Shop,Coffee,5.20
2026-06-28,Metro Transit Pass,Transport,50.00
